bin_selection,time,x,xerr,x2,xerr2,n,v,verr,diodes_diode,diodes_diodeerr,diodes_m2,diodes_m2err,y,yerr
101,77683393.24707483,13002.749469705861,5.7168108110742146e-05,12816.471112598621,5.104072696615377e-06,483.0,39991.565999999744,0.0,0.04455820565349504,0.0012933399676611178,0.026087042449418486,0.031508020545242155,233.0,15.264337522473747
102,77683389.29581086,13002.749676165393,5.900750817632593e-05,12816.47111411359,4.710198026070717e-06,554.0,39991.556717508785,0.0051186713122116645,0.046692765289288986,0.0013325029060733788,0.01724817527296496,0.03165981313007184,502.0,22.40535650240808
103,77683385.0054376,13002.749888575554,5.903427372726483e-05,12816.471110793198,4.313718130948307e-06,559.0,39991.49907441838,0.046562715323184414,0.04894745543216693,0.0013474261751449082,0.023662790716464908,0.030301174032353596,502.0,22.40535650240808
104,77683380.75349651,13002.750089748277,6.294512498353169e-05,12816.471112782228,3.911982226627977e-06,549.0,39991.476883424635,0.02206439394721433,0.051988761433920394,0.0015339547392136724,0.029022967783558028,0.032307809710770775,478.0,21.863211109075447
105,77683376.80110773,13002.7502872372,5.6467046856302136e-05,12816.47111415,3.891925405313484e-06,489.0,39991.501449897914,0.012799095650584744,0.054917025094955746,0.0014250857516501633,0.024353429555628348,0.03123453126902637,318.0,17.832554500127006
106,77683372.9471857,13002.750484008448,5.9061615211315176e-05,12816.471114536975,3.525107605886206e-06,506.0,39991.45540000002,0.0,0.059287657248982446,0.0016909904279722688,0.026305586284693656,0.03267305980574137,493.0,22.20360331117452
107,77683369.26328066,13002.750678035147,5.6866808058075416e-05,12816.471114598457,3.3984642471049852e-06,455.0,39991.46810153844,0.007567247552409489,0.0627601167617711,0.0018601557554197656,0.02153396636256199,0.03035232188923264,301.0,17.349351572897472
108,77683365.67164879,13002.750876891734,5.393152800747647e-05,12816.471113359681,2.988794650817176e-06,490.0,39991.479713061526,0.010369849348380733,0.06779842787843227,0.002364326550535385,0.022847105002112986,0.030073545356667324,261.0,16.15549442140351
109,77683361.99148043,13002.751075397113,5.5620629811230504e-05,12816.471114752741,2.9677892349321482e-06,482.0,39991.494800000066,0.0,0.0733896579604893,0.0026911083547196315,0.02679076805988451,0.03137251239171831,150.0,12.24744871391589
110,77683358.15413155,13002.751281133953,5.9242807873247316e-05,12816.471113945108,4.816524014217244e-06,527.0,39991.489308159515,0.0013021442654754798,0.08077857287302803,0.003423379263102036,0.029950441756570426,0.03128026767911045,96.0,9.797958971132712
111,77683354.31033139,13002.751481490379,4.965617320582843e-05,12816.471113788424,3.290524946044833e-06,484.0,39991.56654876041,0.057638265290106024,0.0900719658964508,0.003215280412616482,0.024331473634238668,0.030271622702719634,95.0,9.746794344808963
112,77683350.45895053,13002.751678006744,6.028063778837023e-05,12816.47111458979,4.411493232058749e-06,522.0,39991.57154904209,0.05509349277607632,0.0988907769196737,0.0033208900454492415,0.030124215355866006,0.03191516850894668,97.0,9.848857801796104
113,77683346.62706769,13002.75188317437,5.570719908557912e-05,12816.471113583755,3.1094477614517584e-06,471.0,39991.4913000001,0.0,0.11260998990300881,0.003341134554780363,0.025638349139445946,0.029419144025947724,65.0,8.06225774829855
114,77683342.95273991,13002.752080514138,5.631958038411107e-05,12816.471114190594,4.275412099689117e-06,483.0,39991.531060869806,0.007830972451224442,0.12414091036378067,0.0034112769393175287,0.02799728884517408,0.031197274370004646,44.0,6.6332495807108
115,77683339.23587629,13002.75228183471,5.540435233981882e-05,12816.471114965805,4.249735654920208e-06,487.0,39991.51871375785,0.011505745377373495,0.13804024575318277,0.004792448258665389,0.03282718115101344,0.0305141169857363,57.0,7.54983443527075
